ProductName,Stars,Ratings,Reviews,Current_Price,MRP,Proccessor,Ram,Storage,,,,,,,,,
realme Book (Slim) Core i3 11th Gen,4.4,12395,1847,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,,,,,
ASUS Vivobook 14 (2022) Core i3 12th Gen,0,0,0,49990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i5 11th Gen,4.2,268,21,55490,71990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.4,1412,240,55000,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Core i3 12th Gen,0,0,0,56749,73735,Processor: Intel i3-1215U (0.9 GHz up to 4.40 GHz), 6 Cores & 10 MB CPU Cache,RAM & Storage: 8GB, DDR4, 3200MHz & 256GB SSD,Graphics: Integrated, Keyboard: Backlit Keyboard + Fingerprint Reader,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/k/e/-original-imagkz7pm2gzedte.jpeg?q=70,,,,
HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,4.5,4,0,34190,44912,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS VivoBook Flip 14 Core i3 11th Gen,4.4,124,10,44990,66990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD,,,,,,,,,
HP Ryzen 7 Octa Core 5700U,4,6,0,64990,71766,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,0,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
HP Ryzen 5 Hexa Core 5500U,4.2,1884,194,46329,61388,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo Core i3 11th Gen,4,47,2,40990,90990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
acer Nitro 5 Ryzen 5 Hexa Core 5600H,4.5,298,28,63990,95999,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,949,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),,,,,,,,,
DELL Core i3 11th Gen,4.2,67,6,60900,73600,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Core i3 11th Gen,0,0,0,45990,58200,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP 15s Intel Core i3 11th Gen,4.4,79,11,39890,47264,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
ASUS Core i3 10th Gen,4.4,91,9,33990,50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Infinix X1 Slim Series Core i5 10th Gen,4.2,396,67,49990,64999,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
DELL Vostro Ryzen 3 Dual Core R3,3.8,449,54,36400,50651,Processor: AMD Ryzen 3-3250U (2.60 GHz up to 3.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 1TB HDD,"Display: 14.0"" FHD WVA AG Narrow Border",,,,,,,,,
Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U,4.2,658,75,45490,60090,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,4.5,17,4,48990,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP Intel Core i3 11th Gen,4.4,5462,575,40990,45892,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
ASUS Core i3 11th Gen,4,102,13,33990,44990,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Core i3 10th Gen,4.4,683,66,39890,44634,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
HP Ryzen 7 Octa Core 5700U,4.2,117,13,60990,73625,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
acer Nitro 5 Ryzen 5 Hexa Core 4600H,4.5,2345,270,61490,99999,Free upgrade to Windows 11 when available,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,,,,,,,,,
HP 15s Intel Core i3 11th Gen,4.3,1588,148,44650,50982,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Core i5 11th Gen,4.2,166,14,67990,75826,NVIDIA RTX 3050 Graphics upto 90W TGP,15.6 inch Full HD AG Display (250 nits Brightness, 120Hz,Intel Core i5 Processor (11th Gen),https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/9/l/-original-imaghzahumgmsmj5.jpeg?q=70,,,,,,,
Infinix INBook X2 Plus Core i3 11th Gen,4.1,146,32,40990,49990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
ASUS Core i3 12th Gen,3.8,4,2,42990,57990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP Core i3 11th Gen,0,0,0,43250,51724,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Ryzen 3 Dual Core,0,0,0,33990,48990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,0,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Infinix INBook X1 Neo Series Celeron Quad Core,4.2,3431,500,24999,39990,Intel Celeron Quad Core Processor,8 GB LPDDR4X RAM,256 GB SSD,,,,,,,,,
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.1,34,5,65990,95790,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Infinix X1 Slim Series Core i7 10th Gen,3.7,111,27,54990,69999,Intel Core i7 Processor (10th Gen),16 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,949,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),,,,,,,,,
acer Aspire 7 Core i5 12th Gen,4.3,2969,346,57990,83999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Core i5 11th Gen,4.1,75,9,69890,87600,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i3 11th Gen,0,0,0,37490,61590,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Core i5 12th Gen,0,0,0,65390,85751,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i5 12th Gen,4.2,236,20,62490,76890,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,0,0,0,63990,95090,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
HP Victus Ryzen 7 Octa Core 5800H,0,0,0,68990,86547,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS VivoBook Flip 14 Core i3 11th Gen,4,141,21,49990,67990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
Infinix X1 Slim Series Core i5 10th Gen,4.2,697,100,44990,59999,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
Vaio E Series Ryzen 5 Quad Core 3500U,4,706,141,41990,66990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,364,39,40990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Core i5 11th Gen,4.2,17,3,49890,90783,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Core i3 11th Gen,3.7,683,86,39690,51493,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,,,,,,,,,
acer Aspire Vero (Green PC) Core i5 11th Gen,0,0,0,54990,79999,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Vivobook 15 Core i3 11th Gen,4.4,35,1,39990,56990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Infinix INBook X1 Neo Series Celeron Quad Core,4.1,738,121,20990,29990,Intel Celeron Quad Core Processor,4 GB LPDDR4X RAM,128 GB SSD,,,,,,,,,
HP G8 Core i3 11th Gen,4,40,2,34690,45743,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
realme Book (Slim) Core i3 11th Gen,4.4,12395,1847,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/v/b/y/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgw27k4tbb.jpeg?q=70,,,,,
DELL Inspiron Core i5 11th Gen,3.7,10,0,57990,73171,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,0,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Core i3 11th Gen,4.3,245,30,61900,72600,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
acer Aspire 5 Core i5 12th Gen,0,0,0,57990,74999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Core i3 11th Gen,3.1,15,3,44290,55047,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,949,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),,,,,,,,,
ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5,4.5,742,79,58990,80990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Vostro Core i3 10th Gen,4.2,50,4,42490,57858,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD|256 GB SSD,,,,,,,,,
HP 15s Core i3 11th Gen,0,0,0,37770,48052,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.1,54,10,50990,67990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Core i5 12th Gen,4,7,0,61490,79928,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,,,,,,,,,
HP Pavilion Gaming Ryzen 5 Quad Core 3550H,4.4,2207,248,59990,0,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,4.6,58,7,63990,86990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Ryzen 3 Quad Core 5425U,4.6,7,1,43490,55384,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Vostro Core i3 11th Gen,4.1,9,1,42890,44427,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Celeron Dual Core 4th Gen,4.1,933,93,25990,40490,Intel Celeron Dual Core Processor (4th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Infinix X1 Slim Series Core i3 10th Gen,4.3,4244,565,35990,49999,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD,,,,,,,,,
HP 15s Intel Core i3 11th Gen,4.2,230,18,41999,47834,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i5 12th Gen,4.1,78,10,66490,82490,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Vostro Core i3 10th Gen,4.2,904,106,42490,54781,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,,,,,,,,,
Lenovo Core i3 11th Gen,4.1,26,2,40699,55695,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS TUF Gaming A17 Ryzen 5 Hexa Core AMD R5,4.5,531,92,64590,81990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo Ryzen 3 Dual Core 3250U,3.6,84,16,31490,36923,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,1 TB HDD,,,,,,,,,
DELL Inspiron Ryzen 3 Dual Core 3250U,4.2,26,2,44090,56771,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP Athlon Dual Core 3050U,4,848,94,29490,39288,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,0,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Core i3 10th Gen,4.1,993,109,45390,60490,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,,,,,,,,,
HP Ryzen 3 Quad Core 5300U,4.3,1974,255,41990,52900,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Vostro Ryzen 3 Dual Core 3250U,4.1,68,13,42190,51105,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,949,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),,,,,,,,,
DELL Vostro Ryzen 5 Hexa Core 5625U,0,0,0,67115,82373,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Core i3 12th Gen,4,9,2,47990,55047,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border",,,,,,,,,
HP 14s Intel Celeron Dual Core,3.8,354,33,27891,36865,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
MSI Ryzen 7 Octa Core 5700U,4.2,113,12,52990,78990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Core i3 11th Gen,0,0,0,35990,52990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
MSI Bravo Ryzen 5 Hexa Core 5600H,4.4,2115,283,58500,83990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP Athlon Dual Core 3050U,4.3,25,3,25612,31690,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Core i3 11th Gen,4,53,4,43490,56776,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
ASUS VivoBook 15 (2022) Core i3 10th Gen,4.3,9970,999,35990,50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3,4.3,398,48,34990,46990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
acer Aspire 7 Core i5 12th Gen,4.3,2969,346,61990,94999,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i3 10th Gen,4.4,798,67,31990,36133,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Vostro 3405 Athlon Dual Core 3050,4.1,488,54,28290,39874,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
MSI GF63 Thin Hexa Core i5 10th Gen,4.4,3387,350,54490,76990,Intel Hexa Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,,,,,,,,,
Lenovo Core i3 10th Gen,4.3,768,76,38990,62190,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Core i5 11th Gen,4.3,505,53,60390,65321,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,,,,,,,,,
Avita Pura E,0,0,0,29990,47990,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
SAMSUNG Galaxy Book2 Core i5 12th Gen,4.6,78,11,61990,79990,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X RAM,256 GB SSD,,,,,,,,,
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.5,95,13,63990,73544,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,0,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
ASUS Vivobook AMD R5 5600H Ryzen 5 Hexa Core 10th Gen,0,0,0,54980,74990,AMD Ryzen 5 Hexa Core Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP Pavilion Ryzen 5 Hexa Core 5625U,4.2,264,27,55200,64491,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP 15s Intel Core i3 11th Gen,4.1,131,8,41490,51470,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,,,,,,,,,
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,949,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),,,,,,,,,
HP Core i5 7th Gen,4.3,6,3,60000,113737,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/computer/a/y/b/hp-spectre-notebook-original-imaepbx7ncxbuzwc.jpeg?q=70,,,,,,,
acer Aspire 3 Pentium Silver,4,19,3,26490,32990,Intel Pentium Silver Processor,4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Core i5 11th Gen,4,3,2,59390,74619,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Lenovo Ryzen 5 Hexa Core 5600H,0,0,0,59490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Ryzen 7 Octa Core 5825U,4,25,6,66190,85550,Processor: AMD Ryzen 7-5825U (2.00 GHz up to 4.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 512GB SSD,"Display: 15.6"" FHD WVA AG Narrow Border 120Hz 250 nits",,,,,,,,,
DELL Core i3 11th Gen,4.2,6,0,42500,55350,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,,,,,,,,,
acer Aspire 7 Core i5 12th Gen,4.3,285,33,69990,88999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Core i3 12th Gen,4,9,2,47990,55047,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border",,,,,,,,,
Lenovo IdeaPad Core i3 10th Gen,4.2,64,8,35990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Core i3 10th Gen,4.2,68,6,46880,63200,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
MSI Ryzen 7 Octa Core 5700U,4.2,113,12,52990,78990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Core i3 11th Gen,0,0,0,35990,52990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Infinix X1 Slim Series Core i5 10th Gen,4.2,697,100,44990,59999,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Ryzen 3 Dual Core 3250U,4.4,112,11,37990,43990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.3,214,25,67990,92999,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
acer Aspire 3 Core i3 11th Gen,4.1,61,8,35500,50000,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Lenovo Athlon Dual Core 3050U,4.3,8,0,20990,35000,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.3,214,25,67990,92999,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
acer Aspire 3 Pentium Silver,4,19,3,28490,36990,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,0,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
HP 15s Intel Core i5 12th Gen,4.2,111,7,66000,72210,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Core i3 10th Gen,4.2,68,6,46880,63200,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Ryzen 5 Dual Core 5th Gen,4.6,9,1,61990,76990,AMD Ryzen 5 Dual Core Processor (5th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,949,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen),,,,,,,,,
acer Nitro 5 Core i5 11th Gen,4.6,11,1,63999,99990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Core i3 12th Gen,4,9,2,47990,55047,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border",,,,,,,,,
acer Aspire 5 Ryzen 7 Octa Core 5700U,5,3,0,59990,79999,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
ASUS Vivobook 14 (2022) Core i3 12th Gen,4.2,11,2,49990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Avita SATUS S111 Celeron Dual Core,3.9,646,89,16990,29990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD,,,,,,,,,
HP Core i5 7th Gen,4.3,6,3,60000,113737,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/computer/a/y/b/hp-spectre-notebook-original-imaepbx7ncxbuzwc.jpeg?q=70,,,,,,,
DELL Core i3 11th Gen,4.2,6,0,42500,55350,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,,,,,,,,,
DELL Vostro Core i3 11th Gen,4.2,533,59,41290,55347,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,,,,,,,,,
DELL Inspiron Core i3 11th Gen,4.4,126,33,45990,46156,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,512 GB SSD,,,,,,,,,
acer Aspire 3 Pentium Silver,4,19,3,26490,32990,Intel Pentium Silver Processor,4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
ASUS Vivobook AMD R5 5600H Ryzen 5 Hexa Core 10th Gen,0,0,0,54980,74990,AMD Ryzen 5 Hexa Core Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
MSI Core i5 12th Gen,0,0,0,58490,72990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,,,,,,,,,
DELL Inspiron Core i5 11th Gen,0,0,0,65359,83034,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Nokia PureBook X14 Core i5 10th Gen,4.4,1498,314,50490,90000,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
HP Ryzen 3 Dual Core 3250U,4.3,3850,399,37990,46052,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,,,,,,,,,
Infinix INBook X2 Plus Core i3 11th Gen,4.1,146,32,40990,49990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,,,,,,,,,
Lenovo IdeaPad 3 Dual Core 3020e,4.1,113,15,27990,38390,AMD Dual Core Processor,4 GB DDR4 RAM,256 GB SSD,,,,,,,,,
